,actual
2013-12-16 00:00:00,441.67255
2013-12-16 00:10:00,419.49042
2013-12-16 00:20:00,459.47592
2013-12-16 00:30:00,376.8823
2013-12-16 00:40:00,393.06085
2013-12-16 00:50:00,399.1571
2013-12-16 01:00:00,285.94077
2013-12-16 01:10:00,386.73553
2013-12-16 01:20:00,393.29654
2013-12-16 01:30:00,306.3335
2013-12-16 01:40:00,378.2484
2013-12-16 01:50:00,379.74503
2013-12-16 02:00:00,313.56323
2013-12-16 02:10:00,363.4713
2013-12-16 02:20:00,355.76028
2013-12-16 02:30:00,261.89465
2013-12-16 02:40:00,322.91937
2013-12-16 02:50:00,333.58017
2013-12-16 03:00:00,266.3287
2013-12-16 03:10:00,306.63855
2013-12-16 03:20:00,328.371
2013-12-16 03:30:00,275.8581
2013-12-16 03:40:00,306.56317
2013-12-16 03:50:00,331.5537
2013-12-16 04:00:00,273.42023
2013-12-16 04:10:00,283.75247
2013-12-16 04:20:00,342.6617
2013-12-16 04:30:00,282.18365
2013-12-16 04:40:00,295.69342
2013-12-16 04:50:00,306.71826
2013-12-16 05:00:00,245.5802
2013-12-16 05:10:00,309.10986
2013-12-16 05:20:00,342.4906
2013-12-16 05:30:00,240.64575
2013-12-16 05:40:00,299.0204
2013-12-16 05:50:00,351.99677
2013-12-16 06:00:00,318.0458
2013-12-16 06:10:00,378.69785
2013-12-16 06:20:00,356.13885
2013-12-16 06:30:00,384.46634
2013-12-16 06:40:00,370.89133
2013-12-16 06:50:00,362.3277
2013-12-16 07:00:00,336.9213
2013-12-16 07:10:00,390.61447
2013-12-16 07:20:00,425.83823
2013-12-16 07:30:00,418.44138
2013-12-16 07:40:00,511.0615
2013-12-16 07:50:00,629.23
2013-12-16 08:00:00,653.4199
2013-12-16 08:10:00,761.4895
2013-12-16 08:20:00,882.3408
2013-12-16 08:30:00,1032.548
2013-12-16 08:40:00,1124.1259
2013-12-16 08:50:00,1236.5491
2013-12-16 09:00:00,1481.2484
2013-12-16 09:10:00,1428.5942
2013-12-16 09:20:00,1552.465
2013-12-16 09:30:00,1488.8285
2013-12-16 09:40:00,1661.2596
2013-12-16 09:50:00,1617.4148
2013-12-16 10:00:00,1664.484
2013-12-16 10:10:00,1834.0757
2013-12-16 10:20:00,1817.0442
2013-12-16 10:30:00,1880.4313
2013-12-16 10:40:00,1992.1698
2013-12-16 10:50:00,2007.4949
2013-12-16 11:00:00,1981.7074
2013-12-16 11:10:00,2184.5688
2013-12-16 11:20:00,1968.1713
2013-12-16 11:30:00,2176.2668
2013-12-16 11:40:00,2058.1228
2013-12-16 11:50:00,2211.9333
2013-12-16 12:00:00,2043.0378
2013-12-16 12:10:00,2347.7483
2013-12-16 12:20:00,2503.83
2013-12-16 12:30:00,2471.3293
2013-12-16 12:40:00,2487.8162
2013-12-16 12:50:00,2553.4895
2013-12-16 13:00:00,2654.5227
